OP,A1,A2,A3,A4,A5
+,45290,37795,3465,3275,41038
+,3013,7029,44469,6254,21808
+,2784,1696,37390,18822,34864
+,47964,37060,4705,1524,16612
+,18098,8577,3249,36388,4014
-,2674,0,0,0,0
-,8074,0,0,0,0
+,23160,20561,12064,41157,13581
-,7274,0,0,0,0
+,43543,20514,26885,1898,37429
-,9116,0,0,0,0
-,9521,0,0,0,0
+,29103,23965,24720,14170,29895
+,41075,8971,47502,6761,5625
+,16015,6759,18364,19431,26284
+,19352,5048,24345,30113,34519
+,14865,15258,15415,18665,42426
+,39557,46843,19930,23902,48115
+,29144,19759,5884,25709,20979
-,2805,0,0,0,0
+,26126,5400,29988,41682,13282
+,45661,8662,6228,49743,32174
+,41568,27879,5140,2037,3223
+,25223,43202,29229,18583,32160
+,19135,32455,9058,9948,23565
+,33214,4316,32480,3666,23486
-,4102,0,0,0,0
-,6615,0,0,0,0
+,40629,3132,38895,3587,16717
-,7537,0,0,0,0
+,42274,22096,36808,19371,25829
-,9719,0,0,0,0
-,4323,0,0,0,0
+,5280,9257,11124,22957,39115
-,2962,0,0,0,0
+,29721,30979,38046,5610,2634
-,2813,0,0,0,0
-,1804,0,0,0,0
+,39771,29325,46136,4133,4527
+,38468,36969,28636,36618,18262
+,44998,17810,40534,12831,38995
+,49815,11505,23746,34120,20147
-,5566,0,0,0,0
+,15568,42260,12510,12412,30274
+,13839,18556,35735,25867,34327
+,20045,24718,10030,25139,21234
+,48842,28592,20263,20443,42480
+,23987,28588,29976,9066,13216
+,302,33361,23509,5026,22120
+,3030,10672,40741,49013,25977
+,37099,27034,19496,27182,25824
+,23927,35276,17584,35501,41443
+,15029,47542,43529,43685,2643
-,5220,0,0,0,0
+,30004,42401,143,30875,14811
+,33931,6270,4225,5412,41967
+,757,39912,7577,13223,32614
-,9756,0,0,0,0
+,38254,43162,1572,11301,37199
+,35075,19285,9753,21074,46971
+,14192,25046,48727,21880,3852
-,9901,0,0,0,0
-,9565,0,0,0,0
+,27677,6225,42097,27468,18145
+,46200,6895,10563,11427,25656
+,43890,10731,10806,12657,29619
+,45901,16214,13760,6646,32248
+,60,35119,16708,34338,15161
+,7127,16672,17001,21427,26200
+,7325,39175,39310,8742,39203
+,1902,742,13253,20532,25807
+,32837,15552,25688,6581,17390
+,6304,878,5095,48583,25520
+,27320,23403,6731,34905,47669
+,32507,13953,12982,42544,919
-,5706,0,0,0,0
+,40885,38611,29811,11885,5673
-,8172,0,0,0,0
+,1042,45366,6622,586,12984
+,24477,37368,48678,38824,14359
-,4813,0,0,0,0
+,42501,32050,23455,7299,15406
+,38749,10364,20050,49252,8407
+,41108,4563,32440,10711,41282
+,8158,23248,22894,41618,8093
-,5591,0,0,0,0
