OP,A1,A2,A3,A4,A5
+,13099,3839,10196,2427,9884
+,10083,2693,19862,9808,8180
+,16063,6478,18018,2784,6141
+,17046,19791,8796,16945,10185
+,18360,17688,10262,14934,16504
+,11128,18004,15092,12875,16607
+,9211,4689,15739,17575,1553
+,7649,16592,17545,151,15867
+,3658,7154,3829,17205,8503
+,10455,15457,9629,3461,17715
+,13567,769,1654,1110,11286
+,9482,6525,12724,17861,7760
+,9879,6515,16342,312,2970
+,514,4566,18730,12257,9898
+,8680,18133,11122,5236,3709
+,13414,13939,11209,11480,17438
+,16530,19495,8867,16485,3476
+,14262,4909,4484,10799,3901
+,10799,18349,19391,12136,3791
+,1880,11723,14438,7295,6302
+,4417,13442,18603,3999,11295
+,18968,18885,5597,16113,2558
+,11242,4418,2667,16247,17605
+,2204,4738,10039,2516,88
+,401,7568,15291,17435,5911
+,8135,5019,13315,17361,14481
+,9430,13217,12473,9843,5263
+,3407,6424,4945,19294,2601
+,10702,10464,5686,2138,12768
+,3409,2543,10597,445,5685
+,2079,2527,9996,7164,4644
+,5751,9934,17234,19824,18795
+,9123,10622,8284,11473,5648
+,16039,191,7302,8486,5337
+,13110,10187,14394,14041,16863
+,10803,12280,14169,16249,391
+,2516,12885,9068,4222,18426
+,7257,537,9071,16111,6784
+,1520,13505,5118,19322,18402
+,15862,15000,14421,1145,4258
+,2367,992,15817,17687,13786
+,7206,12188,1734,17154,3287
+,16964,17235,19990,17902,12736
+,5655,19246,6567,19818,16667
+,4908,687,7825,11157,16498
+,3499,7812,15237,17633,4090
+,4428,17960,18260,9161,10987
+,4638,15089,4602,7489,4862
+,7520,65,19122,15994,1756
+,18,17414,3084,5927,1638
+,18900,10639,1805,2445,18687
+,5394,10840,2414,17625,18428
+,1836,7618,15547,11172,11340
+,15855,11556,2751,7285,18895
+,10529,3778,12501,10873,13007
+,17389,18929,8655,7729,9058
+,19498,11230,14774,15407,17932
+,14115,4346,16279,456,3007
+,13117,7663,13873,16295,11587
+,11500,3788,5436,18143,14966
+,16559,11235,6766,12184,3112
