OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7513,8611,4999,7505,4165,7779,496,1059,6322,8387
+,2307,7318,5293,4509,9310,990,1283,7644,3164,525
+,9695,4082,2911,7705,4387,8999,8405,8115,5252,2248
+,8426,5773,4365,1457,9334,3180,2937,4115,17,8704
+,1535,9286,1429,8798,9227,9699,7536,6183,762,3085
+,9041,6762,8205,9249,7846,1603,9816,9296,3423,244
+,1042,7415,7644,6058,9325,1013,5504,7492,4063,2359
+,7434,8988,9116,2015,4839,3672,8879,6246,3973,7942
+,7527,7627,8056,1730,2521,684,9621,6777,6145,1045
+,5525,8522,7761,3745,5422,8948,9181,5848,78,2023
+,8757,5406,689,7427,7978,9116,2809,2115,3523,136
+,6371,931,2620,1857,6303,3214,6772,5056,8736,4310
+,1849,5086,240,7813,8680,9230,5398,8697,5210,3394
+,1523,4908,997,1599,5917,3102,526,652,1302,6087
+,2840,7868,6330,2901,6091,7187,1653,4718,290,4547
-,792,0,0,0,0,0,0,0,0,0
+,8785,8152,4121,2214,4445,2284,81,2325,5054,4802
+,6615,8013,2968,4383,4138,1613,798,8203,9680,2758
+,9552,7645,4466,6131,4298,2603,3471,2515,4501,1559
+,9750,7334,8285,4211,2198,5082,9375,9104,6463,1475
+,3429,3424,6103,3572,1005,6158,3880,5170,3511,9114
+,639,8717,6639,3917,3160,9505,7285,767,9994,9818
-,313,0,0,0,0,0,0,0,0,0
+,427,5929,7088,4006,4029,7756,8953,4341,2844,4425
+,816,1719,7561,1066,1383,6799,3881,7302,4846,7147
+,1208,1631,9064,9822,9870,556,1108,5293,6884,958
-,157,0,0,0,0,0,0,0,0,0
+,5268,4004,4189,2461,7326,8643,9369,6795,1548,9685
+,1245,107,7610,5096,3284,5799,4139,4701,6797,8998
-,263,0,0,0,0,0,0,0,0,0
+,4192,4965,2450,3925,2162,495,791,9654,8729,5478
+,3187,4360,5088,9643,5361,7413,6632,2182,2117,9198
-,474,0,0,0,0,0,0,0,0,0
+,7494,2002,9286,2968,3791,1498,9075,2568,3210,3159
+,9883,4641,9699,9442,3405,6339,5006,8443,9600,6691
