OP,A1,A2,A3,A4,A5
-,747,0,0,0,0
+,49926,5500,12841,6522,31763
+,36414,7265,48046,24083,18651
-,15983,0,0,0,0
+,29753,13715,42560,15745,40020
+,36038,2297,1116,13406,7911
+,11387,9254,28898,15488,28929
-,8076,0,0,0,0
+,34958,23778,24023,38569,29886
-,19336,0,0,0,0
+,20138,33068,15897,36953,17009
-,103,0,0,0,0
-,7801,0,0,0,0
+,47756,48792,24841,26555,22953
-,134,0,0,0,0
-,12286,0,0,0,0
+,28510,45936,6807,5436,32988
-,1567,0,0,0,0
+,7729,23495,7461,11909,8768
+,13231,41993,28012,25442,18164
-,3123,0,0,0,0
+,5073,47152,2201,45377,37816
+,14690,23927,1071,34586,10647
+,12464,46238,31622,24497,15025
+,34649,41530,1343,33131,20069
+,42708,10182,27294,48874,42030
+,10426,20208,8941,25507,31489
+,25704,42296,16766,9834,15846
+,33153,37107,8860,40993,35057
+,37332,47592,33437,24513,19652
+,30085,38245,12141,33729,20751
-,10261,0,0,0,0
+,34997,7184,3419,47007,9652
+,3668,4017,7394,44022,1362
+,36933,21017,41983,46432,16985
+,26873,33771,21320,42880,45930
+,49015,41930,32487,28727,33226
+,24423,22148,22024,446,24479
+,4967,22112,8021,37581,969
+,27733,47091,13476,33757,44230
-,10109,0,0,0,0
+,25676,9484,4260,36350,24493
+,3072,16394,43153,35041,46071
+,40198,30751,12013,45158,20494
+,4208,28633,441,23287,1947
+,28532,49244,43871,22720,41433
-,18313,0,0,0,0
-,13101,0,0,0,0
+,48876,32296,1432,3974,1745
+,41588,21601,41095,38727,27611
+,44220,6787,39300,19111,3057
-,8261,0,0,0,0
-,2203,0,0,0,0
+,14306,36945,1275,25103,2936
+,45908,31744,45173,39598,15157
-,8944,0,0,0,0
-,316,0,0,0,0
+,12950,2755,27596,26910,44198
+,32178,39340,40504,49145,32797
+,674,42607,19370,3718,2670
+,6467,3205,49113,15027,27845
+,20187,26881,20561,18615,11142
-,16617,0,0,0,0
-,6947,0,0,0,0
+,38860,18399,40962,25652,6357
+,36408,21111,16049,29837,30061
-,5562,0,0,0,0
+,39288,35722,16535,6370,15035
+,23705,23298,39167,15435,16886
-,8840,0,0,0,0
-,12297,0,0,0,0
-,6586,0,0,0,0
+,1646,26850,778,25154,41744
+,10714,16365,28705,18953,48073
-,12716,0,0,0,0
-,6683,0,0,0,0
+,15340,1218,31678,8656,32859
+,20127,40716,38786,20617,23539
+,171,6131,44931,47896,5007
-,12108,0,0,0,0
+,20839,31032,42040,6241,43730
-,14600,0,0,0,0
-,3687,0,0,0,0
+,46251,46353,7181,29848,1750
+,42072,49859,23409,48644,35376
+,1090,277,48149,45670,12945
+,19630,28967,18920,1009,20018
+,5577,6903,12404,34366,522
+,29326,12917,47876,37097,38488
+,12363,732,44744,4660,5343
-,4482,0,0,0,0
+,17348,40896,6150,22069,21408
+,11970,25343,46074,29797,17006
-,8509,0,0,0,0
+,13406,10835,42470,22072,43626
+,134,8107,32404,40982,29655
-,1514,0,0,0,0
-,11668,0,0,0,0
+,14128,18964,31915,15417,7921
-,16410,0,0,0,0
+,27963,445,31878,22780,5303
+,38636,48843,4904,38236,45048
+,13564,15558,46381,32246,39180
-,6197,0,0,0,0
-,12791,0,0,0,0
+,48373,40961,35068,20479,15684
-,4098,0,0,0,0
-,5977,0,0,0,0
+,32158,14333,4531,26555,24736
-,12634,0,0,0,0
-,328,0,0,0,0
-,12224,0,0,0,0
