OP,A1,A2,A3,A4,A5
+,33252,15894,2902,33984,36417
+,5284,41935,15860,41283,33741
+,22330,36392,40117,47730,43308
+,40521,47267,9982,3054,29414
+,10122,19866,41841,12734,31
+,48272,19720,14309,20181,22749
+,49770,22064,49021,19615,5625
+,8216,15312,22007,23737,41616
+,8134,28455,46591,19646,30366
+,25804,10970,24165,44028,23024
+,34170,6079,44485,37760,21696
+,9142,36502,18808,13833,32372
+,37394,18045,7576,7498,31446
+,44872,17844,8036,21086,1597
+,2861,21243,12994,19458,19491
+,30752,22084,14042,24298,328
+,6710,351,37410,28941,35995
+,33034,1209,46275,26457,15342
+,16469,26345,3667,14249,1172
+,343,32493,33674,38718,11154
+,473,33049,6916,42438,9727
+,25529,48915,15961,10134,47720
+,25414,27517,11684,48018,4005
+,48813,21479,20270,44676,46988
+,13934,4248,2017,18279,21366
+,13475,6858,23560,18185,33534
+,32791,38945,48157,1610,39701
+,15166,5522,10023,39610,22184
+,19741,5649,23683,13399,8818
+,11002,30155,22154,49388,12061
+,20039,41405,10039,9382,284
+,17396,18886,21955,12541,47538
+,37266,48108,29446,29359,3511
+,47026,48673,2736,15875,2789
+,28445,49860,38796,13982,6785
+,48294,26473,5727,21714,29540
+,2067,15265,18548,25987,7906
+,11835,34765,27315,798,25100
+,4442,15403,11232,7580,10556
+,48959,11273,42290,49773,35468
+,4378,40691,11470,36227,48913
+,32186,23784,22152,20312,8526
+,27281,38165,39626,16514,32845
+,4056,35024,27707,45432,12290
+,47065,32910,39209,35747,8299
+,5843,40966,26377,9319,20173
+,34494,41321,7143,7696,19004
+,10564,37313,24175,38073,9934
+,23894,30537,5075,19388,22257
+,22147,10232,41683,3653,21509
+,17670,15177,45929,37859,34094
+,34374,6131,10117,4117,19727
+,19589,18911,7108,35618,26432
+,34068,14459,23399,18596,12911
+,16025,19323,42643,49756,25100
+,48379,49456,31585,42427,28325
+,10168,34390,13321,14096,45027
+,6943,49838,1847,9537,26704
+,22622,7084,14928,36786,8317
+,19599,11467,22312,16144,9430
+,39141,14649,12093,13903,20174
+,31637,2350,46024,35303,18864
+,8325,46037,14719,19296,45091
+,44371,5907,44827,34893,1941
+,22046,25249,13708,26234,31831
+,16934,6160,30756,15297,37518
+,4505,3771,33387,17135,20019
+,14552,33165,41539,45121,4689
+,35205,28349,14623,5649,41325
+,22500,43115,12097,19151,24879
+,26050,17209,28827,20740,12092
+,23257,16826,44618,29223,16425
+,32028,19569,8522,13258,8913
+,25674,17372,7757,10728,44706
+,35111,35756,45669,2692,26683
+,26276,13946,34612,27194,20056
+,10592,43158,19428,6812,1252
+,41644,26900,33675,8555,49094
+,28971,14067,21492,8639,13085
+,25628,24725,21403,39078,11476
+,8679,37539,3726,44804,21187
+,48881,15490,11519,11360,17625
+,16621,42645,49467,35407,19756
+,7652,9844,20254,29823,711
+,33429,27892,44338,45762,26086
+,45510,19624,35697,13661,36252
+,5077,40593,2524,23352,13883
+,48038,7764,30253,38826,43410
+,30747,27422,29477,39313,18233
+,14826,39843,40965,20657,35491
+,17606,23413,8386,7396,14885
+,27080,12472,32302,48925,42231
+,42921,6087,31596,12954,43783
+,43364,21254,49606,6677,20886
+,31199,27212,21338,49943,15737
+,39149,39742,15917,48349,21474
+,38340,31477,24279,39003,28568
+,19506,6814,11793,35978,25118
+,31137,13421,12200,19775,15084
+,22139,3390,39789,27028,40490
+,34317,8611,35171,18984,7598
+,3049,45392,42352,35774,38410
+,24141,33579,15516,46817,18759
+,461,32370,38742,29402,16922
+,4689,32038,25086,42749,2507
+,49883,32788,46898,14805,37773
+,5143,20404,48607,32232,6237
+,32441,4252,40796,10691,49084
+,42622,19393,8778,33454,45376
+,19935,3429,4347,11474,34180
+,28533,12206,10812,29279,18947
+,21765,31865,17068,12040,9584
+,38683,25992,23412,17525,16621
+,17994,21289,41672,26033,14664
+,43904,18937,24252,33167,10030
+,36448,21520,20767,42182,12683
+,7161,30343,21525,38634,20466
+,41032,46118,49094,27632,14580
+,39423,31771,44429,7480,9244
+,18603,5174,47270,40985,34912
+,2844,32122,30698,8759,30760
+,17882,33416,23518,35636,27888
+,18684,35932,3940,32315,49734
+,361,32529,18972,35103,33587
+,43194,27291,40934,25535,232
+,17935,42874,7522,11482,34199
+,27636,2716,45239,1173,1301
+,46414,30164,39392,1305,5211
+,10062,38335,30241,15837,23695
+,29815,28685,5332,42063,15270
+,34737,33750,21694,39200,11380
+,28633,45186,31271,29659,13751
+,35843,41180,21448,2647,48956
+,9534,21294,34562,27937,33271
+,41326,20271,6722,40926,39104
+,35593,39165,778,40267,13375
+,36087,925,46804,15561,37997
+,33040,19719,45515,36956,49019
+,46634,19135,35083,2747,336
+,19714,26380,27082,16497,36977
+,46464,13932,28031,47993,28275
+,46555,23213,36504,42,25228
+,49915,33126,2162,34556,34277
+,46611,39756,25781,38462,39265
+,39796,2716,43449,39993,13567
+,3684,42691,4596,22735,30849
+,32409,821,46001,47544,12598
+,34483,11338,14945,46102,2712
+,38838,22176,48890,12957,19624
+,46398,20283,20,36478,35102
+,18576,34762,35684,36233,41558
+,27932,37669,44501,39652,10105
+,42222,12908,11106,47372,18643
+,13828,43516,2575,4185,36736
+,21370,30856,12823,42029,26550
+,40831,9952,16,20293,43155
+,8550,34664,10294,32536,15792
+,7136,24438,1652,12680,3161
+,17282,6007,22793,49530,21169
+,603,25367,9044,48617,44511
+,47078,4798,12592,11066,37486
+,36056,14124,32767,13189,31471
+,43793,5229,35159,34720,10220
+,37271,47080,14146,1054,1512
+,38047,20935,4133,3000,11003
+,7107,20447,15399,48681,5966
+,36807,9144,39998,4374,44772
+,34085,7411,42706,10736,4158
+,13045,12946,17023,9445,38538
+,31318,27296,41219,46716,21735
+,2011,41465,4648,14284,34630
+,3553,19845,12473,23523,2987
+,4507,4219,21534,42207,3039
+,37177,14756,13337,28993,19399
+,33542,49622,24613,48221,37141
+,16707,15809,16121,6880,47726
+,38804,5624,12895,25846,12418
+,40333,32701,21662,35436,1057
+,7127,29223,21302,18540,21076
+,30765,29033,25963,47971,1862
+,39943,29493,4189,36261,34849
+,16043,4889,44798,21059,46477
