OP,A1,A2,A3,A4,A5
+,69,33,64,59,24
+,10,81,45,95,58
+,14,95,63,21,4
+,8,14,79,95,43
+,27,34,4,32,3
+,82,79,100,94,93
+,67,1,58,91,16
+,63,53,49,90,45
+,65,13,19,8,91
+,18,92,39,28,34
+,61,94,97,100,54
-,15,0,0,0,0
+,5,60,89,17,21
-,18,0,0,0,0
-,6,0,0,0,0
+,59,12,85,77,63
+,16,38,78,3,42
+,43,2,73,6,84
+,7,84,73,8,15
+,87,19,39,59,4
+,90,3,93,54,49
+,49,21,32,98,6
-,21,0,0,0,0
+,73,100,38,78,1
+,57,17,31,7,87
+,60,93,6,15,16
+,94,26,39,49,16
-,1,0,0,0,0
-,11,0,0,0,0
-,3,0,0,0,0
-,7,0,0,0,0
+,53,61,40,76,87
+,74,13,86,86,52
+,84,40,96,30,64
+,31,56,64,78,62
-,14,0,0,0,0
-,21,0,0,0,0
+,55,47,12,44,22
-,6,0,0,0,0
+,15,58,92,14,32
+,40,72,32,68,3
-,7,0,0,0,0
+,48,20,99,94,87
+,85,41,20,39,57
+,21,50,40,91,33
+,64,67,63,36,70
+,32,45,97,100,80
-,17,0,0,0,0
+,86,60,12,72,72
+,66,49,76,74,73
+,58,95,61,100,96
-,3,0,0,0,0
+,78,7,48,76,2
+,51,74,83,70,96
+,89,35,50,73,13
-,21,0,0,0,0
+,95,77,37,27,60
+,77,14,79,47,12
-,6,0,0,0,0
+,76,80,74,55,38
+,41,94,92,98,65
-,11,0,0,0,0
+,4,59,47,60,83
-,26,0,0,0,0
+,33,24,49,11,23
+,71,25,84,100,13
+,37,67,36,37,40
+,62,59,11,95,66
+,70,61,51,85,78
+,26,9,44,88,48
-,24,0,0,0,0
-,10,0,0,0,0
+,11,71,49,62,75
+,24,65,57,90,17
+,96,57,17,32,32
+,99,94,97,88,30
+,97,13,97,33,76
+,47,67,86,77,61
+,72,9,71,30,75
+,93,13,75,29,44
-,1,0,0,0,0
+,46,67,95,42,10
+,13,20,97,11,87
+,38,61,99,24,75
+,80,37,68,86,19
+,83,18,94,78,41
+,79,90,31,100,51
+,1,100,67,22,77
+,98,44,41,84,17
+,0,38,83,39,63
+,28,41,34,34,48
+,39,18,65,23,51
+,44,84,35,90,23
-,20,0,0,0,0
+,75,96,50,69,72
+,23,4,20,37,94
+,92,69,45,54,65
+,17,44,28,57,66
+,42,33,41,28,88
+,3,79,41,65,12
+,68,2,83,70,99
+,20,32,89,78,37
+,9,67,89,45,16
+,88,83,8,25,99
+,81,94,5,69,99
-,0,0,0,0,0
+,35,46,77,88,13
+,30,54,83,48,96
+,22,59,74,62,1
+,34,63,94,68,27
+,91,100,47,73,8
+,45,81,38,3,63
-,20,0,0,0,0
+,29,85,93,8,27
-,21,0,0,0,0
-,1,0,0,0,0
+,50,54,14,91,45
+,25,70,3,48,59
+,36,53,37,92,93
+,6,52,60,97,10
+,52,81,85,98,76
-,21,0,0,0,0
+,56,79,28,53,85
-,27,0,0,0,0
+,19,47,93,36,35
-,27,0,0,0,0
+,54,12,47,96,53
+,2,58,17,2,24
+,12,72,72,51,72
-,5,0,0,0,0
