OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7478,1054,3045,6835,7700,6931,194,29,3676,2421
+,8735,7994,9712,9326,9358,7345,4709,7782,3634,4203
-,230,0,0,0,0,0,0,0,0,0
+,2186,3893,3266,5930,5420,8309,2337,9379,1254,6513
-,607,0,0,0,0,0,0,0,0,0
+,3318,1868,3570,5136,4565,1048,4133,4568,693,3440
+,7681,9325,7037,4953,3302,1416,1129,7681,1190,1177
+,9696,1123,6322,5828,7039,2180,8390,4592,1875,7848
+,7365,817,6577,7384,3143,2507,1887,1139,4588,9457
+,2646,9299,7299,2676,1832,161,1114,3825,3452,1848
+,284,5796,2094,4898,5028,1324,5654,9263,9180,7959
+,3325,5013,2547,1012,6061,26,3745,7894,5251,3367
+,8745,8771,1692,6729,3358,4380,5693,8048,4108,3867
+,3895,6225,7116,9205,8926,884,9246,9842,9585,1059
-,385,0,0,0,0,0,0,0,0,0
+,9953,9486,3999,5049,3309,672,9592,582,4982,4025
+,2764,3055,7678,8513,4587,9053,5191,907,2779,4251
+,9541,9340,1025,3410,5189,1044,3246,5808,2548,6987
+,1855,5425,2819,1835,5010,5395,5458,1760,5561,1190
+,1674,804,7956,6581,8178,4610,7889,9357,2214,2882
+,6501,9694,2980,2786,6082,1428,945,6271,7240,3175
+,2869,2730,1792,9508,4925,6177,2503,8335,7618,6945
-,127,0,0,0,0,0,0,0,0,0
+,2437,9614,5181,7552,4515,7577,4682,9527,6195,3346
+,4811,9449,423,3878,8054,9213,409,3514,5745,1116
+,4718,9371,4433,6687,6467,7860,8239,3790,8693,3396
+,624,7694,2346,1143,2120,2280,1801,234,6802,4858
+,518,4664,6408,7601,3152,7091,1638,4856,32,776
-,446,0,0,0,0,0,0,0,0,0
+,1227,848,8520,87,7707,3655,9972,8220,9070,5386
+,3202,5071,5550,209,8133,3475,5699,9449,111,4844
+,4225,9571,3133,6526,9539,6996,9758,7901,1186,3825
+,6519,6496,3364,3108,5170,4279,8025,5432,2050,6225
+,6082,4549,1054,5804,2777,6244,9390,9056,1947,2547
+,7601,4696,5159,4382,3765,5152,2922,9459,6016,9473
+,5562,1242,8478,5002,7079,6253,9235,1514,567,9417
+,4016,2401,1450,5259,8382,721,8511,393,5826,9055
+,6609,7391,5520,1892,5558,388,5853,4651,6086,5970
+,666,3348,4499,1912,3265,9199,863,2889,5964,7913
+,6514,8453,9759,713,6592,2509,2657,5662,7948,728
-,267,0,0,0,0,0,0,0,0,0
+,8147,5980,6668,1242,1157,4736,6571,1311,7385,3103
+,7848,5051,3469,3474,2843,9727,4680,4510,599,6381
+,8909,4109,9526,311,3972,7410,2702,8319,6651,7137
+,1173,6535,2614,9033,2927,6148,2000,9058,7926,1959
+,9770,2288,1397,7239,5920,8903,4583,6110,7074,6308
+,2843,5241,9301,2051,7819,2304,5883,2995,4728,3310
-,131,0,0,0,0,0,0,0,0,0
+,2785,8027,5531,6410,8318,2089,8945,8117,3800,4970
+,8610,952,5967,44,1028,998,3815,5332,3119,5255
+,2377,944,8592,4182,7439,4528,6734,7045,1134,4242
+,9103,2826,9437,394,2226,9921,8051,2989,6092,401
+,943,1292,9358,9111,9612,7722,2929,2651,2325,379
+,4147,7744,4310,986,1128,107,8520,3811,8275,1862
+,6419,3144,2052,9319,7266,8379,3403,8387,5974,4783
+,5174,9701,3476,4488,2954,6135,5318,1181,4382,5909
+,310,421,1860,2494,8916,276,7017,7141,4191,6450
+,8117,6167,49,3598,9652,8940,6955,3887,7367,4209
+,1100,7910,6540,1716,7337,2057,3593,3960,665,1331
+,1424,8733,5020,6475,5962,5706,1238,2869,8465,6929
+,9626,4507,3620,8389,27,4036,1031,2035,2704,9716
-,369,0,0,0,0,0,0,0,0,0
+,1073,4065,7939,5065,242,696,6741,1468,6813,3445
+,9995,1652,2886,9830,2224,4587,5036,6436,4562,3079
+,5008,7913,7032,625,8139,1764,8,479,4282,3886
+,9292,5698,8704,5906,9914,5492,982,5150,9005,8929
+,1866,9053,5126,6014,5829,2884,9390,3877,97,7040
+,8749,7334,6994,1353,6507,5977,6276,4881,4340,8280
+,2047,2679,2114,42,8169,716,4765,2264,4081,5795
+,1921,2352,341,3107,5850,1311,8148,8036,8250,7133
+,369,8616,5791,9201,8974,8414,9957,126,3125,9132
+,5822,7979,1940,9406,4625,9015,8591,4698,5227,2598
+,8303,2202,6262,2968,7289,7646,6279,4621,5107,8830
+,9338,3487,2965,5216,6261,8092,9244,1944,2356,3502
+,9022,5726,9490,2121,4817,9130,3732,8494,7871,5008
+,2362,4365,9794,1259,4923,8409,3876,5035,9048,8923
+,8522,1358,4660,8160,188,6888,6764,6036,4306,520
+,6777,3129,6308,4734,7324,9705,5890,7920,1796,5094
+,6775,3191,1998,344,1683,5610,6847,4967,3191,4994
-,354,0,0,0,0,0,0,0,0,0
+,5213,3286,1275,4266,9651,1784,6835,8361,1827,8062
+,3379,7640,8266,5481,9623,371,1977,1790,1789,7484
+,442,3439,1815,4304,5886,7061,5720,3683,5147,9665
+,9663,8378,2867,9455,3612,6593,2561,9146,438,8165
+,7152,7325,1386,7908,4637,4367,6850,6655,6920,7086
+,995,3766,3762,1761,145,6999,4436,1092,9609,7879
+,2758,8843,2576,6016,810,5702,7305,4365,4824,7695
-,80,0,0,0,0,0,0,0,0,0
+,393,8879,6628,1863,3506,1839,902,5693,8305,161
+,37,8099,7746,3372,1035,3848,315,3982,6481,3444
+,2426,1266,3012,6264,1374,9148,7019,4764,951,8411
+,7039,394,2930,1368,5124,6953,6873,5534,5995,3611
+,8984,9584,82,8911,3130,2762,2738,8481,3413,8515
+,9020,3181,135,753,5759,3473,8467,9369,1325,8243
+,5728,1413,2981,5552,1839,466,7710,7599,6504,5886
-,345,0,0,0,0,0,0,0,0,0
+,5595,590,5872,7091,3602,8360,8026,1320,482,2273
+,127,4446,3629,643,6441,1176,7177,2307,6289,5133
+,2162,5592,4889,1033,2666,7814,8509,3704,2938,7043
+,4194,4752,5046,3149,3201,6176,8199,8931,3011,9558
+,5169,6272,7246,9738,7487,658,9741,4534,4477,5958
+,9856,4487,4255,8539,7090,2925,8395,9505,266,721
+,7721,813,6910,3008,492,1491,9308,3759,3044,7648
